216.62583863, cell no: 116, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:350.125519, cell no: 405, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.808369531906, psi:1078.79137887, cell no: 33, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.879235089625, psi:936.962398112, cell no: 499, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.998408607373, psi:265.674442362, cell no: 1907, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:323.207489, cell no: 1026, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.982853443212, psi:343.418428636, cell no: 1809, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:343.160004, cell no: 1808, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 328, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.946882386476, psi:482.216862485, cell no: 1, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 1362, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 19, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.826083850486, psi:901.688052396, cell no: 49, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.296301106047, psi:6368.71877667, cell no: 3201, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:290.140991, cell no: 3104, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.373602489416, psi:3072.77673086, cell no: 3156, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.313326581921, psi:5342.78326297, cell no: 3200, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.956900161449, psi:440.629363029, cell no: 2557, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:350.125519, cell no: 601, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.936617070917, psi:533.667908085, cell no: 3158, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:292.32309, cell no: 1476, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.959461825639, psi:429.792746658, cell no: 2638, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.990375528133, psi:370.813140055, cell no: 706, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.976886915601, psi:378.654073739, cell no: 3154, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:315.81839, cell no: 3202, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.988434424994, psi:331.848461522, cell no: 3203, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.943626449169, psi:502.423835336, cell no: 3204, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.967931117264, psi:411.367727396, cell no: 3205, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.978885096891, psi:373.307195402, cell no: 3206, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.902819252624, psi:546.791178392, cell no: 3207, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:315.81839, cell no: 3155, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.418919547121, psi:2143.93433903, cell no: 3157, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.918706556199, psi:669.663136394, cell no: 330, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.926730289671, psi:626.574163732, cell no: 329, and time step: 36
